Run	Trial	Cond	Vid	Behav
319	114	1	114	0
320	525	2	115	0
321	526	2	116	0
322	527	2	117	0
323	528	2	118	0
324	529	2	119	0
325	530	2	120	0
326	531	2	121	0
327	327	2	122	1
328	123	1	123	0
329	124	1	124	0
330	535	2	125	0
331	126	1	126	0
332	332	2	127	0
333	333	2	128	0
334	539	2	129	1
335	540	2	130	0
336	131	1	131	1
337	542	2	132	0
338	133	1	133	0
339	339	2	134	0
340	340	2	135	0
341	546	2	136	0
342	137	1	137	0
343	138	1	138	0
344	549	2	139	0
345	550	2	140	0
346	346	2	141	0
347	552	2	142	1
348	553	2	143	0
349	554	2	144	1
350	145	1	145	0
351	351	2	146	0
352	147	1	147	0
353	148	1	148	0
354	559	2	149	0
355	560	2	150	0
356	151	1	151	0
357	357	2	152	0
358	358	2	153	0
359	359	2	154	0
360	155	1	155	0
361	361	2	156	0
362	157	1	157	1
363	158	1	158	0
364	569	2	159	1
365	365	2	160	0
366	366	2	161	0
367	367	2	162	0
368	163	1	163	0
369	369	2	164	0
370	165	1	165	0
371	371	2	166	0
372	372	2	167	0
373	373	2	168	0
374	374	2	169	0
375	580	2	170	0
376	171	1	171	0
377	172	1	172	0
378	173	1	173	0
379	379	2	174	0
380	380	2	175	0
381	586	2	176	0
382	177	1	177	0
383	588	2	178	0
384	179	1	179	1
385	180	1	180	0
386	181	1	181	0
387	387	2	182	0
388	593	2	183	0
389	594	2	184	0
390	390	2	185	0
391	391	2	186	0
392	597	2	187	0
393	598	2	188	0
394	599	2	189	0
395	600	2	190	0
396	396	2	191	0
397	192	1	192	0
398	193	1	193	0
399	194	1	194	0
400	400	2	195	0
401	196	1	196	0
402	402	2	197	0
403	198	1	198	0
404	199	1	199	0
405	610	2	200	1
406	611	2	201	0
407	202	1	202	0
408	408	2	203	0
409	204	1	204	0
410	205	1	205	0
411	206	1	1	0
412	2	1	2	0
413	208	1	3	0
414	4	1	4	0
415	415	2	5	0
416	6	1	6	0
417	212	1	7	0
418	213	1	8	0
419	419	2	9	0
420	215	1	10	0
421	216	1	11	1
422	12	1	12	0
423	423	2	13	1
424	424	2	14	1
425	15	1	15	0
426	16	1	16	0
427	17	1	17	0
428	223	1	18	0
429	19	1	19	0
430	225	1	20	0
431	431	2	21	0
432	22	1	22	1
433	433	2	23	0
434	24	1	24	0
435	230	1	25	0
436	436	2	26	0
437	437	2	27	0
438	438	2	28	0
439	439	2	29	1
440	440	2	30	0
441	236	1	31	0
442	442	2	32	0
443	238	1	33	0
444	444	2	34	0
445	445	2	35	1
446	446	2	36	0
447	37	1	37	0
448	243	1	38	0
449	39	1	39	0
450	450	2	40	0
451	246	1	41	0
452	452	2	42	0
453	453	2	43	0
